custom_id,wordpress_id,title
75,655,אדבר איתך - שתי שפות. אהבה אחת בהובלת תזמורת המהפכה ובשיתוף משרד החינוך
76,656,דג עוטף - 100 דגים מיסודה של הדג נחש
77,657,הוילג' - בית הנשים
83,663,"מרחב רב תרבותי בבי""ס תווים לילדי לוד על הרצף האוטיסטי"
89,669,תוואסול - מתחברים
90,671,ביחד למען משאב אזורי - שותפות להצלת ים המלח
93,674,"חברתי - ארץ, עיר, שכונה ובית"
96,677,שותפות ערבית-יהודית חוף הכרמל - ארוע אופני שטח בפרדיס
97,678,המשך - אקלים של אחדות
106,635,שוף אל נוף - מיזם טיולים משותפים
109,686,במה משותפת - תיאטרון לקירוב לבבות
114,691,חינוך לשותפות - רשויות שכנות
116,693,חברה משותפת - המודל המקומי
119,696,"מועדון האופניים הקהילתי ""המסלול יפו"""
123,699,זורנא - קולקטיב ארטיביסטי יהודי ערבי לתרבות ולשינוי
124,700,"שיפור מערכות יחסים בחברה מגוונת ומקוטבת בדרך ה-U; התוכנית: ""לפלס דרכים"""
127,703,אדבר איתך - שתי שפות. אהבה אחת.
133,708,"חמ""ל התרבות בנגב – מקדמים תרבות משותפת"
